WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
92	0.000	7.912	0.127	0.059	0.814	0	0
93	0.000	7.912	0.012	0.007	0.982	0	0
90	0.000	8.844	0.130	0.045	0.825	0	0
91	0.000	10.018	0.184	0.082	0.734	0	0
92	0.000	31.648	0.127	0.059	0.814	0.00012963	0.00012963
93	0.000	31.648	0.012	0.007	0.982	0.00013889	0.00013889
90	0.000	35.379	0.130	0.045	0.825	0.000174408	0.000174408
91	0.000	40.069	0.184	0.082	0.734	0.00019328	0.00019328
92	0.000	55.384	0.127	0.059	0.814	0.00145236	0.00145236
93	0.000	55.384	0.012	0.007	0.982	0.00183744	0.00183744
90	0.000	61.914	0.130	0.045	0.825	0.00288503	0.00288503
91	0.000	70.120	0.184	0.082	0.734	0.00387933	0.00387933
92	0.000	79.120	0.127	0.059	0.814	0.00887764	0.00887764
93	0.000	79.120	0.012	0.007	0.982	0.0111909	0.0111909
90	0.000	88.449	0.130	0.045	0.825	0.0136533	0.0136533
91	0.000	100.171	0.184	0.082	0.734	0.0166482	0.0166482
72	45.000	9.352	0.631	0.369	0.000	0	0
87	45.000	9.366	0.693	0.307	0.000	0	0
71	45.000	9.380	0.541	0.459	-0.000	0	0
86	45.000	9.392	0.562	0.438	0.000	0	0
27	45.000	9.428	0.718	0.282	-0.000	0	0
42	45.000	9.436	0.709	0.291	0.000	0	0
26	45.000	9.440	0.694	0.306	-0.000	0	0
41	45.000	9.450	0.675	0.325	0.000	0	0
12	45.000	9.508	0.726	0.274	0.000	0	0
57	45.000	9.516	0.703	0.297	0.000	0	0
11	45.000	9.518	0.654	0.346	0.000	0	0
56	45.000	9.522	0.641	0.359	0.000	0	0
73	45.000	10.662	0.766	0.234	0.000	0	0
88	45.000	10.680	0.757	0.243	0.000	0	0
28	45.000	10.734	0.760	0.240	0.000	0	0
43	45.000	10.736	0.761	0.239	0.000	0	0
13	45.000	10.810	0.756	0.244	0.000	0	0
58	45.000	10.824	0.751	0.249	-0.000	0	0
70	45.000	10.908	0.552	0.448	0.000	0	0
85	45.000	10.944	0.591	0.409	-0.000	0	0
40	45.000	10.988	0.693	0.307	-0.000	0	0
25	45.000	10.988	0.711	0.289	0.000	0	0
10	45.000	11.054	0.668	0.332	0.000	0	0
55	45.000	11.058	0.686	0.314	0.000	0	0
62	45.000	11.152	0.580	0.420	-0.000	0	0
77	45.000	11.204	0.603	0.397	0.000	0	0
63	45.000	11.214	0.553	0.447	-0.000	0	0
17	45.000	11.236	0.717	0.283	-0.000	0	0
32	45.000	11.244	0.701	0.299	-0.000	0	0
78	45.000	11.248	0.550	0.450	0.000	0	0
18	45.000	11.302	0.690	0.310	-0.000	0	0
2	45.000	11.310	0.672	0.328	-0.000	0	0
33	45.000	11.310	0.690	0.310	0.000	0	0
47	45.000	11.312	0.688	0.312	0.000	0	0
3	45.000	11.384	0.579	0.421	0.000	0	0
48	45.000	11.390	0.682	0.318	-0.000	0	0
74	45.000	12.342	0.732	0.268	-0.000	0	0
89	45.000	12.360	0.732	0.268	0.000	0	0
29	45.000	12.396	0.733	0.267	0.000	0	0
44	45.000	12.408	0.733	0.267	0.000	0	0
14	45.000	12.454	0.731	0.269	-0.000	0	0
59	45.000	12.462	0.731	0.269	-0.000	0	0
61	45.000	12.614	0.724	0.276	0.000	0	0
16	45.000	12.684	0.733	0.267	-0.000	0	0
31	45.000	12.688	0.731	0.269	-0.000	0	0
76	45.000	12.694	0.732	0.268	-0.000	0	0
1	45.000	12.752	0.728	0.272	-0.000	0	0
64	45.000	12.752	0.619	0.381	0.000	0	0
46	45.000	12.756	0.728	0.272	0.000	0	0
79	45.000	12.762	0.651	0.349	-0.000	0	0
19	45.000	12.818	0.698	0.302	-0.000	0	0
34	45.000	12.826	0.698	0.302	-0.000	0	0
4	45.000	12.890	0.684	0.316	0.000	0	0
49	45.000	12.894	0.695	0.305	-0.000	0	0
69	45.000	13.352	0.692	0.308	-0.000	0	0
84	45.000	13.418	0.706	0.294	0.000	0	0
24	45.000	13.474	0.710	0.290	-0.000	0	0
39	45.000	13.476	0.705	0.295	-0.000	0	0
9	45.000	13.538	0.702	0.298	0.000	0	0
54	45.000	13.556	0.702	0.298	-0.000	0	0
65	45.000	14.876	0.698	0.302	-0.000	0	0
80	45.000	14.880	0.706	0.294	-0.000	0	0
20	45.000	14.940	0.694	0.306	-0.000	0	0
35	45.000	14.942	0.699	0.301	0.000	0	0
5	45.000	15.002	0.698	0.302	-0.000	0	0
50	45.000	15.004	0.702	0.298	-0.000	0	0
60	45.000	15.046	0.714	0.286	-0.000	0	0
15	45.000	15.090	0.716	0.284	-0.000	0	0
30	45.000	15.114	0.716	0.284	-0.000	0	0
75	45.000	15.116	0.714	0.286	0.000	0	0
45	45.000	15.132	0.716	0.284	0.000	0	0
0	45.000	15.144	0.716	0.284	0.000	0	0
68	45.000	15.678	0.696	0.304	0.000	0	0
83	45.000	15.722	0.700	0.300	0.000	0	0
23	45.000	15.774	0.699	0.301	0.000	0	0
38	45.000	15.778	0.699	0.301	-0.000	0	0
8	45.000	15.824	0.704	0.296	0.000	0	0
53	45.000	15.832	0.699	0.301	-0.000	0	0
66	45.000	16.286	0.666	0.334	0.000	0	0
81	45.000	16.302	0.703	0.297	0.000	0	0
21	45.000	16.306	0.660	0.340	0.000	0	0
36	45.000	16.308	0.692	0.308	-0.000	0	0
51	45.000	16.322	0.696	0.304	0.000	0	0
6	45.000	16.324	0.701	0.299	0.000	0	0
7	45.000	16.378	0.698	0.302	-0.000	0	0
52	45.000	16.378	0.692	0.308	-0.000	0	0
37	45.000	16.382	0.668	0.332	0.000	0	0
22	45.000	16.384	0.628	0.372	-0.000	0	0
82	45.000	16.386	0.697	0.303	0.000	0	0
67	45.000	16.390	0.637	0.363	-0.000	0	0
73	45.000	26.655	0.766	0.234	0.000	3.47591e-51	3.47591e-51
88	45.000	26.700	0.757	0.243	0.000	8.88403e-51	8.88403e-51
28	45.000	26.835	0.760	0.240	0.000	2.02954e-52	2.02954e-52
43	45.000	26.840	0.761	0.239	0.000	4.38717e-51	4.38717e-51
13	45.000	27.025	0.756	0.244	0.000	2.29573e-50	2.29573e-50
58	45.000	27.060	0.751	0.249	-0.000	0	0
27	45.000	27.899	0.718	0.282	-0.000	0	0
12	45.000	28.663	0.726	0.274	0.000	3.69371e-50	3.69371e-50
74	45.000	30.855	0.732	0.268	-0.000	0	0
89	45.000	30.900	0.732	0.268	0.000	2.42474e-50	2.42474e-50
29	45.000	30.990	0.733	0.267	0.000	5.53781e-51	5.53781e-51
44	45.000	31.020	0.733	0.267	0.000	1.97164e-53	1.97164e-53
42	45.000	31.099	0.709	0.291	0.000	7.65857e-54	7.65857e-54
57	45.000	31.131	0.703	0.297	0.000	1.60622e-50	1.60622e-50
14	45.000	31.135	0.731	0.269	-0.000	0	0
59	45.000	31.155	0.731	0.269	-0.000	0	0
87	45.000	31.656	0.693	0.307	0.000	1.70778e-49	1.70778e-49
61	45.000	31.757	0.724	0.276	0.000	3.99954e-47	3.99954e-47
76	45.000	31.957	0.732	0.268	-0.000	0	0
16	45.000	31.998	0.733	0.267	-0.000	0	0
31	45.000	32.176	0.731	0.269	-0.000	0	0
1	45.000	32.294	0.728	0.272	-0.000	0	0
46	45.000	32.442	0.728	0.272	0.000	1.44724e-48	1.44724e-48
26	45.000	32.693	0.694	0.306	-0.000	0	0
