WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
92	0.000	7.912	0.000	0.000	1.000	0	0
93	0.000	7.912	0.000	0.000	1.000	0	0
90	0.000	8.844	0.000	0.000	1.000	0	0
91	0.000	10.018	0.000	0.000	1.000	0	0
92	0.000	31.648	0.000	0.000	1.000	0	0
93	0.000	31.648	0.000	0.000	1.000	0	0
90	0.000	35.379	0.000	0.000	1.000	0	0
91	0.000	40.069	0.000	0.000	1.000	0	0
72	45.000	9.352	0.500	0.500	0.000	0	0
87	45.000	9.366	0.500	0.500	0.000	0	0
71	45.000	9.380	0.500	0.500	0.000	0	0
86	45.000	9.392	0.500	0.500	0.000	0	0
27	45.000	9.428	0.500	0.500	0.000	0	0
42	45.000	9.436	0.500	0.500	0.000	0	0
26	45.000	9.440	0.500	0.500	0.000	0	0
41	45.000	9.450	0.500	0.500	0.000	0	0
12	45.000	9.508	0.500	0.500	0.000	0	0
57	45.000	9.516	0.500	0.500	0.000	0	0
11	45.000	9.518	0.500	0.500	0.000	0	0
56	45.000	9.522	0.500	0.500	0.000	0	0
73	45.000	10.662	0.500	0.500	0.000	0	0
88	45.000	10.680	0.500	0.500	0.000	0	0
28	45.000	10.734	0.500	0.500	0.000	0	0
43	45.000	10.736	0.500	0.500	0.000	0	0
13	45.000	10.810	0.500	0.500	0.000	0	0
58	45.000	10.824	0.500	0.500	0.000	0	0
70	45.000	10.908	0.500	0.500	0.000	0	0
85	45.000	10.944	0.500	0.500	0.000	0	0
25	45.000	10.988	0.500	0.500	0.000	0	0
40	45.000	10.988	0.500	0.500	0.000	0	0
10	45.000	11.054	0.500	0.500	0.000	0	0
55	45.000	11.058	0.500	0.500	0.000	0	0
62	45.000	11.152	0.500	0.500	0.000	0	0
77	45.000	11.204	0.500	0.500	0.000	0	0
63	45.000	11.214	0.500	0.500	0.000	0	0
17	45.000	11.236	0.500	0.500	0.000	0	0
32	45.000	11.244	0.500	0.500	0.000	0	0
78	45.000	11.248	0.500	0.500	0.000	0	0
18	45.000	11.302	0.500	0.500	0.000	0	0
2	45.000	11.310	0.500	0.500	0.000	0	0
33	45.000	11.310	0.500	0.500	0.000	0	0
47	45.000	11.312	0.500	0.500	0.000	0	0
3	45.000	11.384	0.500	0.500	0.000	0	0
48	45.000	11.390	0.500	0.500	0.000	0	0
74	45.000	12.342	0.500	0.500	0.000	0	0
89	45.000	12.360	0.500	0.500	0.000	0	0
29	45.000	12.396	0.500	0.500	0.000	0	0
44	45.000	12.408	0.500	0.500	0.000	0	0
14	45.000	12.454	0.500	0.500	0.000	0	0
59	45.000	12.462	0.500	0.500	0.000	0	0
61	45.000	12.614	0.500	0.500	0.000	0	0
16	45.000	12.684	0.500	0.500	0.000	0	0
31	45.000	12.688	0.500	0.500	0.000	0	0
76	45.000	12.694	0.500	0.500	0.000	0	0
1	45.000	12.752	0.500	0.500	0.000	0	0
64	45.000	12.752	0.500	0.500	0.000	0	0
46	45.000	12.756	0.500	0.500	0.000	0	0
79	45.000	12.762	0.500	0.500	0.000	0	0
19	45.000	12.818	0.500	0.500	0.000	0	0
34	45.000	12.826	0.500	0.500	0.000	0	0
4	45.000	12.890	0.500	0.500	0.000	0	0
49	45.000	12.894	0.500	0.500	0.000	0	0
69	45.000	13.352	0.500	0.500	0.000	0	0
84	45.000	13.418	0.500	0.500	0.000	0	0
24	45.000	13.474	0.500	0.500	0.000	0	0
39	45.000	13.476	0.500	0.500	0.000	0	0
9	45.000	13.538	0.500	0.500	0.000	0	0
54	45.000	13.556	0.500	0.500	0.000	0	0
65	45.000	14.876	0.500	0.500	0.000	0	0
80	45.000	14.880	0.500	0.500	0.000	0	0
20	45.000	14.940	0.500	0.500	0.000	0	0
35	45.000	14.942	0.500	0.500	0.000	0	0
5	45.000	15.002	0.500	0.500	0.000	0	0
50	45.000	15.004	0.500	0.500	0.000	0	0
60	45.000	15.046	0.500	0.500	0.000	0	0
15	45.000	15.090	0.500	0.500	0.000	0	0
30	45.000	15.114	0.500	0.500	0.000	0	0
75	45.000	15.116	0.500	0.500	0.000	0	0
45	45.000	15.132	0.500	0.500	0.000	0	0
0	45.000	15.144	0.500	0.500	0.000	0	0
68	45.000	15.678	0.500	0.500	0.000	0	0
83	45.000	15.722	0.500	0.500	0.000	0	0
23	45.000	15.774	0.500	0.500	0.000	0	0
38	45.000	15.778	0.500	0.500	0.000	0	0
8	45.000	15.824	0.500	0.500	0.000	0	0
53	45.000	15.832	0.500	0.500	0.000	0	0
66	45.000	16.286	0.500	0.500	0.000	0	0
81	45.000	16.302	0.500	0.500	0.000	0	0
21	45.000	16.306	0.500	0.500	0.000	0	0
36	45.000	16.308	0.500	0.500	0.000	0	0
51	45.000	16.322	0.500	0.500	0.000	0	0
6	45.000	16.324	0.500	0.500	0.000	0	0
7	45.000	16.378	0.500	0.500	0.000	0	0
52	45.000	16.378	0.500	0.500	0.000	0	0
37	45.000	16.382	0.500	0.500	0.000	0	0
22	45.000	16.384	0.500	0.500	0.000	0	0
82	45.000	16.386	0.500	0.500	0.000	0	0
67	45.000	16.390	0.500	0.500	0.000	0	0
73	45.000	26.655	0.500	0.500	0.000	0	0
88	45.000	26.700	0.500	0.500	0.000	0	0
28	45.000	26.835	0.500	0.500	0.000	0	0
43	45.000	26.840	0.500	0.500	0.000	0	0
13	45.000	27.025	0.500	0.500	0.000	0	0
58	45.000	27.060	0.500	0.500	0.000	0	0
27	45.000	27.899	0.500	0.500	0.000	0	0
12	45.000	28.663	0.500	0.500	0.000	0	0
74	45.000	30.855	0.500	0.500	0.000	0	0
89	45.000	30.900	0.500	0.500	0.000	0	0
29	45.000	30.990	0.500	0.500	0.000	0	0
44	45.000	31.020	0.500	0.500	0.000	0	0
42	45.000	31.099	0.500	0.500	0.000	0	0
57	45.000	31.131	0.500	0.500	0.000	0	0
14	45.000	31.135	0.500	0.500	0.000	0	0
59	45.000	31.155	0.500	0.500	0.000	0	0
87	45.000	31.656	0.500	0.500	0.000	0	0
61	45.000	31.757	0.500	0.500	0.000	0	0
76	45.000	31.957	0.500	0.500	0.000	0	0
16	45.000	31.998	0.500	0.500	0.000	0	0
